dataset,episode_id,failure_class,T,tau,horizon,det_esn,det_maha,det_logistic
sim,test-0421,grounding_loss,35,19,15,True,False,True
sim,test-0422,grounding_loss,41,20,20,True,False,True
sim,test-0423,grounding_loss,33,18,14,True,False,True
sim,test-0424,grounding_loss,28,19,8,True,False,True
sim,test-0425,grounding_loss,39,23,15,True,False,True
sim,test-0426,grounding_loss,45,33,11,True,True,True
sim,test-0427,grounding_loss,35,20,14,True,False,True
sim,test-0428,grounding_loss,43,26,16,True,False,False
sim,test-0429,grounding_loss,59,38,20,True,False,True
sim,test-0430,grounding_loss,22,10,11,True,False,True
sim,test-0431,grounding_loss,42,29,12,True,False,True
sim,test-0432,grounding_loss,45,28,16,True,False,False
sim,test-0433,grounding_loss,32,23,8,True,False,False
sim,test-0434,grounding_loss,23,14,8,True,False,True
sim,test-0435,grounding_loss,33,22,10,True,False,True
sim,test-0436,grounding_loss,47,36,10,True,False,True
sim,test-0437,grounding_loss,28,17,10,True,False,True
sim,test-0438,grounding_loss,35,26,8,True,False,True
sim,test-0439,grounding_loss,36,22,13,True,False,True
sim,test-0440,grounding_loss,31,17,13,True,False,True
sim,test-0441,grounding_loss,37,24,12,True,False,True
sim,test-0442,grounding_loss,42,24,17,True,False,False
sim,test-0443,grounding_loss,50,29,20,False,False,True
sim,test-0444,grounding_loss,28,11,16,True,False,True
sim,test-0445,grounding_loss,24,9,14,True,False,False
sim,test-0446,grounding_loss,19,10,8,True,False,True
sim,test-0447,grounding_loss,40,19,20,True,False,True
sim,test-0448,grounding_loss,37,25,11,True,False,True
sim,test-0449,grounding_loss,33,19,13,True,True,True
sim,test-0450,grounding_loss,23,14,8,True,False,True
sim,test-0451,grounding_loss,22,13,8,True,False,True
sim,test-0452,grounding_loss,27,13,13,True,False,True
sim,test-0453,grounding_loss,45,25,19,True,False,True
sim,test-0454,grounding_loss,57,37,19,True,False,True
sim,test-0455,grounding_loss,54,39,14,True,False,True
sim,test-0456,grounding_loss,29,17,11,True,False,True
sim,test-0457,grounding_loss,41,26,14,True,False,True
sim,test-0458,grounding_loss,51,32,18,True,False,True
sim,test-0459,grounding_loss,34,22,11,True,False,True
sim,test-0460,grounding_loss,36,24,11,True,False,False
sim,test-0461,grounding_loss,49,28,20,True,False,True
sim,test-0462,grounding_loss,32,11,20,True,True,True
sim,test-0463,grounding_loss,50,32,17,True,False,True
sim,test-0464,grounding_loss,34,24,9,True,False,True
sim,test-0465,grounding_loss,32,17,14,True,False,True
sim,test-0466,grounding_loss,21,10,10,True,False,True
sim,test-0467,grounding_loss,28,17,10,True,False,True
sim,test-0468,grounding_loss,35,23,11,True,False,True
sim,test-0469,grounding_loss,54,38,15,True,False,True
sim,test-0470,grounding_loss,54,38,15,True,False,True
sim,test-0471,grounding_loss,33,18,14,False,False,False
sim,test-0472,grounding_loss,28,19,8,True,True,True
sim,test-0473,grounding_loss,41,20,20,True,False,True
sim,test-0474,grounding_loss,45,31,13,True,True,True
sim,test-0475,grounding_loss,26,14,11,True,False,False
sim,test-0476,grounding_loss,55,34,20,True,False,False
sim,test-0477,grounding_loss,33,19,13,True,False,True
sim,test-0478,grounding_loss,31,21,9,True,False,True
sim,test-0479,grounding_loss,42,33,8,True,False,True
sim,test-0480,context_corruption,29,12,16,True,False,True
sim,test-0481,context_corruption,35,21,13,True,True,True
sim,test-0482,context_corruption,35,16,18,True,False,True
sim,test-0483,context_corruption,43,24,18,True,True,True
sim,test-0484,context_corruption,25,13,11,True,True,True
sim,test-0485,context_corruption,30,12,17,True,False,True
sim,test-0486,context_corruption,42,21,20,True,True,True
sim,test-0487,context_corruption,48,30,17,True,True,True
sim,test-0488,context_corruption,26,14,11,True,True,True
sim,test-0489,context_corruption,31,14,16,True,True,True
sim,test-0490,context_corruption,32,15,16,True,False,True
sim,test-0491,context_corruption,46,25,20,True,False,True
sim,test-0492,context_corruption,49,32,16,True,True,True
sim,test-0493,context_corruption,37,21,15,True,True,True
sim,test-0494,context_corruption,19,10,8,True,True,True
sim,test-0495,context_corruption,53,32,20,True,False,True
