dataset,monitor,failure_class,detection_rate,median_delay,mean_lead_all
real_research3b,hybrid_gated,tool_cascade,0.16666666666666666,3.0,0.0
real_research3b,hybrid_gated,context_corruption,0.3333333333333333,4.5,0.3333333333333333
real_research3b,hybrid_gated,malformed_json,0.6666666666666666,4.0,1.0
real_research3b,hybrid_gated,rate_limit,0.0,,0.0
real_research3b,hybrid_gated,timeout,0.3333333333333333,4.5,0.16666666666666666
real_research3b,hybrid_gated,wrong_document,0.2,5.0,0.0
real_research3b,hybrid_logistic,goal_drift,0.6,6.0,1.4
real_research3b,hybrid_logistic,looping,0.5,6.0,0.6666666666666666
real_research3b,hybrid_logistic,tool_cascade,0.16666666666666666,3.0,0.0
real_research3b,hybrid_logistic,context_corruption,0.3333333333333333,4.5,0.3333333333333333
real_research3b,hybrid_logistic,malformed_json,0.3333333333333333,5.5,0.3333333333333333
real_research3b,hybrid_logistic,rate_limit,0.0,,0.0
real_research3b,hybrid_logistic,timeout,0.0,,0.0
real_research3b,hybrid_logistic,wrong_document,0.2,5.0,0.0
ollama_llama8b,esn_cusum_max,goal_drift,0.65625,2.0,0.96875
ollama_llama8b,esn_cusum_max,looping,0.7586206896551724,1.0,2.206896551724138
ollama_llama8b,esn_cusum_max,tool_cascade,0.8260869565217391,1.0,2.391304347826087
ollama_llama8b,esn_cusum_max,context_corruption,0.84375,0.0,2.1875
ollama_llama8b,delta_mahalanobis,goal_drift,0.96875,0.0,1.3125
ollama_llama8b,delta_mahalanobis,looping,1.0,0.0,3.5172413793103448
ollama_llama8b,delta_mahalanobis,tool_cascade,1.0,0.0,3.5652173913043477
ollama_llama8b,delta_mahalanobis,context_corruption,0.75,2.0,0.96875
ollama_llama8b,hybrid_weighted50,goal_drift,0.65625,2.0,0.96875
ollama_llama8b,hybrid_weighted50,looping,0.7586206896551724,1.0,2.206896551724138
ollama_llama8b,hybrid_weighted50,tool_cascade,0.8260869565217391,1.0,2.391304347826087
ollama_llama8b,hybrid_weighted50,context_corruption,0.875,0.0,2.1875
ollama_llama8b,hybrid_max,goal_drift,0.65625,2.0,0.96875
ollama_llama8b,hybrid_max,looping,0.7586206896551724,1.0,2.206896551724138
ollama_llama8b,hybrid_max,tool_cascade,0.8260869565217391,1.0,2.391304347826087
ollama_llama8b,hybrid_max,context_corruption,0.84375,0.0,2.1875
ollama_llama8b,hybrid_gated,goal_drift,0.625,1.0,1.28125
ollama_llama8b,hybrid_gated,looping,0.7586206896551724,1.0,2.2413793103448274
ollama_llama8b,hybrid_gated,tool_cascade,0.782608695652174,1.0,2.391304347826087
ollama_llama8b,hybrid_gated,context_corruption,0.84375,0.0,2.3125
ollama_llama8b,hybrid_logistic,goal_drift,0.9375,1.0,1.09375
ollama_llama8b,hybrid_logistic,looping,1.0,0.0,3.310344827586207
ollama_llama8b,hybrid_logistic,tool_cascade,1.0,0.0,3.0869565217391304
ollama_llama8b,hybrid_logistic,context_corruption,0.96875,1.0,2.03125
real_gemini_long,esn_cusum_max,looping,0.5833333333333334,3.0,5.75
real_gemini_long,esn_cusum_max,tool_cascade,0.16666666666666666,6.0,0.16666666666666666
real_gemini_long,esn_cusum_max,context_corruption,0.7,4.0,1.9
real_gemini_long,esn_cusum_max,malformed_json,0.18181818181818182,4.5,0.45454545454545453
real_gemini_long,esn_cusum_max,rate_limit,0.42857142857142855,4.0,4.142857142857143
real_gemini_long,esn_cusum_max,timeout,0.4444444444444444,5.5,2.3333333333333335
real_gemini_long,esn_cusum_max,wrong_document,0.1,4.0,0.4
real_gemini_long,delta_mahalanobis,looping,0.25,14.0,1.0
real_gemini_long,delta_mahalanobis,tool_cascade,0.0,,0.0
real_gemini_long,delta_mahalanobis,context_corruption,0.0,,0.0
real_gemini_long,delta_mahalanobis,malformed_json,0.0,,0.0
real_gemini_long,delta_mahalanobis,rate_limit,0.0,,0.0
real_gemini_long,delta_mahalanobis,timeout,0.2222222222222222,9.5,0.2222222222222222
real_gemini_long,delta_mahalanobis,wrong_document,0.1,2.0,0.0
real_gemini_long,hybrid_weighted50,looping,0.5833333333333334,3.0,5.75
real_gemini_long,hybrid_weighted50,tool_cascade,0.16666666666666666,6.0,0.16666666666666666
real_gemini_long,hybrid_weighted50,context_corruption,0.7,5.0,1.8
real_gemini_long,hybrid_weighted50,malformed_json,0.09090909090909091,5.0,0.2727272727272727
real_gemini_long,hybrid_weighted50,rate_limit,0.42857142857142855,4.0,4.142857142857143
real_gemini_long,hybrid_weighted50,timeout,0.4444444444444444,5.5,2.2222222222222223
real_gemini_long,hybrid_weighted50,wrong_document,0.1,4.0,0.4
real_gemini_long,hybrid_max,looping,0.5833333333333334,3.0,5.75
real_gemini_long,hybrid_max,tool_cascade,0.16666666666666666,6.0,0.16666666666666666
real_gemini_long,hybrid_max,context_corruption,0.7,4.0,1.9
real_gemini_long,hybrid_max,malformed_json,0.18181818181818182,4.5,0.45454545454545453
real_gemini_long,hybrid_max,rate_limit,0.42857142857142855,4.0,4.142857142857143
real_gemini_long,hybrid_max,timeout,0.4444444444444444,5.5,2.3333333333333335
real_gemini_long,hybrid_max,wrong_document,0.1,4.0,0.4
real_gemini_long,hybrid_gated,looping,0.5833333333333334,3.0,6.0
real_gemini_long,hybrid_gated,tool_cascade,0.16666666666666666,3.0,0.3333333333333333
real_gemini_long,hybrid_gated,context_corruption,0.7,4.0,2.2
real_gemini_long,hybrid_gated,malformed_json,0.18181818181818182,4.0,0.5454545454545454
real_gemini_long,hybrid_gated,rate_limit,0.42857142857142855,3.0,4.571428571428571
real_gemini_long,hybrid_gated,timeout,0.5555555555555556,4.0,2.888888888888889
real_gemini_long,hybrid_gated,wrong_document,0.1,4.0,0.4
real_gemini_long,hybrid_logistic,looping,0.5833333333333334,4.0,5.333333333333333
real_gemini_long,hybrid_logistic,tool_cascade,0.0,,0.0
real_gemini_long,hybrid_logistic,context_corruption,0.6,5.0,1.5
real_gemini_long,hybrid_logistic,malformed_json,0.09090909090909091,5.0,0.2727272727272727
real_gemini_long,hybrid_logistic,rate_limit,0.42857142857142855,4.0,4.142857142857143
real_gemini_long,hybrid_logistic,timeout,0.4444444444444444,6.5,1.8888888888888888
real_gemini_long,hybrid_logistic,wrong_document,0.1,4.0,0.4
