replicate,episode_auc.esn_cusum_max,detection_rate.esn_cusum_max,healthy_fa_rate.esn_cusum_max,mean_lead_all.esn_cusum_max,det[goal_drift].esn_cusum_max,episode_auc.hmt_single,detection_rate.hmt_single,healthy_fa_rate.hmt_single,mean_lead_all.hmt_single,det[goal_drift].hmt_single,episode_auc.hmt_mt,detection_rate.hmt_mt,healthy_fa_rate.hmt_mt,mean_lead_all.hmt_mt,det[goal_drift].hmt_mt,episode_auc.hmt_h,detection_rate.hmt_h,healthy_fa_rate.hmt_h,mean_lead_all.hmt_h,det[goal_drift].hmt_h,episode_auc.hmt_full,detection_rate.hmt_full,healthy_fa_rate.hmt_full,mean_lead_all.hmt_full,det[goal_drift].hmt_full,episode_auc.single_fast,detection_rate.single_fast,healthy_fa_rate.single_fast,mean_lead_all.single_fast,det[goal_drift].single_fast
28,0.7875243664717348,0.4853801169590643,0.125,0.4853801169590643,0.13636363636363635,0.7999512670565302,0.47368421052631576,0.041666666666666664,0.38011695906432746,0.13636363636363635,0.8028752436647173,0.5672514619883041,0.20833333333333334,0.6842105263157895,0.18181818181818182,0.7470760233918129,0.5146198830409356,0.08333333333333333,0.49122807017543857,0.13636363636363635,0.7928849902534114,0.5263157894736842,0.041666666666666664,0.38596491228070173,0.13636363636363635,0.8009259259259259,0.5672514619883041,0.16666666666666666,0.6842105263157895,0.18181818181818182
29,0.780458089668616,0.22807017543859648,0.041666666666666664,0.11695906432748537,0.0,0.7833820662768031,0.2222222222222222,0.041666666666666664,0.05847953216374269,0.0,0.7841130604288499,0.03508771929824561,0.041666666666666664,0.04093567251461988,0.0,0.7799707602339181,0.2222222222222222,0.041666666666666664,0.05847953216374269,0.0,0.7880116959064327,0.03508771929824561,0.041666666666666664,0.04093567251461988,0.0,0.7999512670565302,0.023391812865497075,0.041666666666666664,0.04093567251461988,0.0
30,0.7392787524366471,0.30409356725146197,0.041666666666666664,0.21052631578947367,0.045454545454545456,0.7590155945419103,0.34502923976608185,0.041666666666666664,0.21052631578947367,0.045454545454545456,0.7794834307992203,0.25146198830409355,0.0,0.1286549707602339,0.045454545454545456,0.756578947368421,0.34502923976608185,0.041666666666666664,0.23391812865497075,0.045454545454545456,0.780458089668616,0.30994152046783624,0.041666666666666664,0.1286549707602339,0.045454545454545456,0.7709551656920078,0.2222222222222222,0.0,0.023391812865497075,0.0
31,0.8372319688109162,0.5555555555555556,0.20833333333333334,0.7894736842105263,0.13636363636363635,0.8294346978557505,0.5321637426900585,0.20833333333333334,0.7660818713450293,0.18181818181818182,0.8540448343079923,0.6140350877192983,0.20833333333333334,0.7953216374269005,0.18181818181818182,0.8440545808966862,0.5672514619883041,0.125,0.7894736842105263,0.18181818181818182,0.8540448343079923,0.6140350877192983,0.20833333333333334,0.7953216374269005,0.18181818181818182,0.847953216374269,0.5847953216374269,0.25,0.8070175438596491,0.13636363636363635
32,0.8031189083820663,0.6432748538011696,0.08333333333333333,0.9649122807017544,0.36363636363636365,0.8004385964912281,0.6081871345029239,0.041666666666666664,0.9590643274853801,0.3181818181818182,0.7875243664717348,0.6198830409356725,0.08333333333333333,0.9649122807017544,0.2727272727272727,0.7789961013645225,0.5789473684210527,0.041666666666666664,0.9239766081871345,0.2727272727272727,0.7690058479532164,0.6257309941520468,0.08333333333333333,0.9766081871345029,0.3181818181818182,0.807504873294347,0.5964912280701754,0.08333333333333333,0.9239766081871345,0.18181818181818182
33,0.723196881091618,0.32748538011695905,0.08333333333333333,0.4853801169590643,0.0,0.7251461988304093,0.36257309941520466,0.08333333333333333,0.5321637426900585,0.0,0.7219785575048733,0.3333333333333333,0.08333333333333333,0.391812865497076,0.0,0.7127192982456141,0.3333333333333333,0.08333333333333333,0.5380116959064327,0.0,0.716374269005848,0.34502923976608185,0.08333333333333333,0.391812865497076,0.0,0.7709551656920077,0.3742690058479532,0.08333333333333333,0.52046783625731,0.0
34,0.8079922027290448,0.5789473684210527,0.125,0.8771929824561403,0.13636363636363635,0.8153021442495128,0.5789473684210527,0.08333333333333333,0.8245614035087719,0.18181818181818182,0.8126218323586745,0.5789473684210527,0.08333333333333333,0.8713450292397661,0.13636363636363635,0.8150584795321637,0.5906432748538012,0.08333333333333333,0.8362573099415205,0.22727272727272727,0.8109161793372319,0.5730994152046783,0.08333333333333333,0.8888888888888888,0.13636363636363635,0.8157894736842105,0.5672514619883041,0.16666666666666666,0.5321637426900585,0.18181818181818182
35,0.7916666666666666,0.3684210526315789,0.08333333333333333,0.21052631578947367,0.0,0.790692007797271,0.3684210526315789,0.041666666666666664,0.21052631578947367,0.0,0.7899610136452242,0.38011695906432746,0.125,0.2631578947368421,0.0,0.786793372319688,0.3684210526315789,0.041666666666666664,0.21052631578947367,0.0,0.7858187134502924,0.38011695906432746,0.125,0.2631578947368421,0.0,0.7955653021442495,0.38011695906432746,0.125,0.2631578947368421,0.0
36,0.7953216374269007,0.39766081871345027,0.041666666666666664,0.32748538011695905,0.0,0.7958089668615984,0.39766081871345027,0.041666666666666664,0.32748538011695905,0.0,0.7809454191033137,0.391812865497076,0.041666666666666664,0.26900584795321636,0.0,0.7863060428849903,0.39766081871345027,0.041666666666666664,0.3333333333333333,0.0,0.7726608187134503,0.391812865497076,0.041666666666666664,0.26900584795321636,0.0,0.8330896686159844,0.43859649122807015,0.041666666666666664,0.39766081871345027,0.0
37,0.7855750487329435,0.22807017543859648,0.041666666666666664,0.22807017543859648,0.045454545454545456,0.7980019493177388,0.22807017543859648,0.0,0.22807017543859648,0.045454545454545456,0.8116471734892787,0.24561403508771928,0.041666666666666664,0.19883040935672514,0.045454545454545456,0.7794834307992202,0.25146198830409355,0.041666666666666664,0.22807017543859648,0.045454545454545456,0.7989766081871346,0.2982456140350877,0.041666666666666664,0.18128654970760233,0.045454545454545456,0.8204191033138402,0.40350877192982454,0.041666666666666664,0.19298245614035087,0.09090909090909091
